Nombre,usuario,followers,contenido,menciones,hashtags,likes,veces compartido
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1Ya tengo mi camiseta! \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\nTodo el apoyo a @LaTri. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\n\n#JuntosLoLogramos https://t.co/RxAHQbKCZZ',LaTri,JuntosLoLogramos,6585,553
Guillermo Lasso,LassoGuillermo,882232,"b'@MarcoRa99642999 Gracias por tu mensaje, lo aprecio mucho. Difundamos la importancia de formar parte del\xe2\x80\xa6 https://t.co/AaOR1lhTVi'",MarcoRa99642999,,9,1
Guillermo Lasso,LassoGuillermo,882232,"b'@psyquito Gracias por compartir tu mensaje, lo aprecio mucho. Tu experiencia sirve para motivar a los ecuatorianos\xe2\x80\xa6 https://t.co/bPLLtGerit'",psyquito,,3,0
Guillermo Lasso,LassoGuillermo,882232,"b'@joseluis_1326 Gracias por compartir tu experiencia, me pone muy contento saber que tus padres lograron llevar a ca\xe2\x80\xa6 https://t.co/5yGD2u5EBy'",joseluis_1326,,2,0
Guillermo Lasso,LassoGuillermo,882232,"b'@thmora1 Gracias por compartir tu experiencia, me emociona mucho escucharte. Sigamos trabajando para involucrar a t\xe2\x80\xa6 https://t.co/TBS0CO08bz'",thmora1,,4,0
Guillermo Lasso,LassoGuillermo,882232,b'@ECUADORolimpico La salud de los ecuatorianos es nuestra prioridad. Con el apoyo de todos lograremos la reactivaci\xc3\xb3\xe2\x80\xa6 https://t.co/fGwaiVzauV',ECUADORolimpico,,7,4
Guillermo Lasso,LassoGuillermo,882232,"b'@jessicabaculima Gracias por compartir tu mensaje, lo aprecio mucho. Trabajamos para replicar est\xc3\xa1 experiencia y co\xe2\x80\xa6 https://t.co/yYzwEZS0XX'",jessicabaculima,,2,0
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1Ecuador siempre primero! \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\n\n#JuntosLoLogramos https://t.co/DDCplDsfaL',,JuntosLoLogramos,2236,279
Guillermo Lasso,LassoGuillermo,882232,b'@anaelamejiap Me pone muy contento escuchar est\xc3\xa1 noticia. Agradezco que compartas tu mensaje de apoyo al pa\xc3\xads. Segu\xe2\x80\xa6 https://t.co/BTAwfqAVe3',anaelamejiap,,2,0
Guillermo Lasso,LassoGuillermo,882232,"b'@rossanamurillo1 Gracias por compartir tu mensaje, me emociona mucho escucharte. Seguiremos trabajando para honrar\xe2\x80\xa6 https://t.co/CrLXnB3qUm'",rossanamurillo1,,2,0
Guillermo Lasso,LassoGuillermo,882232,b'@FEFecuador Todos los ecuatorianos respaldamos el camino que va construyendo este maravillosa plantilla. Estamos li\xe2\x80\xa6 https://t.co/eptiXe0I0V',FEFecuador,,412,48
Guillermo Lasso,LassoGuillermo,882232,"b'Un honor visitar a @LaTri en la Casa de la Selecci\xc3\xb3n. Equipo talentoso, comprometido y con grandes profesionales.\xe2\x80\xa6 https://t.co/ASNuYcmRCU'",LaTri,,3265,393
Guillermo Lasso,LassoGuillermo,882232,b'El #PlanVacunaci\xc3\xb3n9100 es un compromiso de todos. Los centros habilitados durante los fines de semana agilizan el p\xe2\x80\xa6 https://t.co/dLgt98q0yL',,PlanVacunación9100,4328,879
Guillermo Lasso,LassoGuillermo,882232,"b'@MaGabrielaCamp Felicidades Mar\xc3\xada Gabriela, muchos \xc3\xa9xitos en tu gesti\xc3\xb3n. De eso se trata el Ecuador del encuentro,\xe2\x80\xa6 https://t.co/JDszBo2O3g'",MaGabrielaCamp,,54,10
Guillermo Lasso,LassoGuillermo,882232,b'La #Transici\xc3\xb3nEcol\xc3\xb3gica es el futuro y el camino hacia un Ecuador pr\xc3\xb3spero. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n#JuntosLoLogramos https://t.co/oairyYDHmH',,TransiciónEcológica,1657,316
Guillermo Lasso,LassoGuillermo,882232,b'@LuchoSuarez60 Agradezco su mensaje Luis. Ecuador est\xc3\xa1 tomando importantes pasos hacia el desarrollo sostenible par\xe2\x80\xa6 https://t.co/IvoQD5PYGz',LuchoSuarez60,,19,5
Guillermo Lasso,LassoGuillermo,882232,b'RT @Presidencia_Ec: Ecuador inici\xc3\xb3 hoy el camino hacia un futuro sostenible.\n\nLa #Transici\xc3\xb3nEcol\xc3\xb3gica nos permitir\xc3\xa1 encontrarnos y tener un\xe2\x80\xa6',Presidencia_Ec,TransiciónEcológica,0,103
Guillermo Lasso,LassoGuillermo,882232,"b'Felicitaciones @mimi_barona. Ecuador se hace presente en la disciplina de surf, un nuevo deporte ol\xc3\xadmpico en los Ju\xe2\x80\xa6 https://t.co/SGflxQeiWc'",mimi_barona,,879,180
Guillermo Lasso,LassoGuillermo,882232,"b'Ecuador est\xc3\xa1 comprometido con el ambiente, los derechos de la naturaleza y el respeto a las comunidades.\n\nHoy inici\xe2\x80\xa6 https://t.co/d2XR0VsRbN'",,,844,162
Guillermo Lasso,LassoGuillermo,882232,"b'Juntos logramos un Ecuador sostenible, que vuelve a nacer en lo verde y respeta los derechos de la naturaleza y las\xe2\x80\xa6 https://t.co/v4udg3SSMJ'",,,1015,314
Guillermo Lasso,LassoGuillermo,882232,b'RT @ComunicacionEc: El Ministerio del Ambiente y Agua cumple una misi\xc3\xb3n muy importante en el pa\xc3\xads.\n \nCon el objetivo de preservar las rique\xe2\x80\xa6',ComunicacionEc,,0,82
Guillermo Lasso,LassoGuillermo,882232,"b'Desde Bucay, junto a la comunidad Shuar de r\xc3\xado Lim\xc3\xb3n, @Ambiente_Ec pasa a ser el Ministerio del Ambiente, Agua y\xe2\x80\xa6 https://t.co/TWJei4IhjK'",Ambiente_Ec,,1021,227
Guillermo Lasso,LassoGuillermo,882232,b'El Ecuador del encuentro se trata de sumar nuestros conocimientos para construir un mejor futuro.\n\nQu\xc3\xa9 mejor manera\xe2\x80\xa6 https://t.co/RXWNv0VQpO',,,1140,189
Guillermo Lasso,LassoGuillermo,882232,"b'Celebramos el #D\xc3\xadaMundialDelMedioAmbiente\xc2\xa0 junto a la comunidad Shuar de r\xc3\xado Lim\xc3\xb3n en el cant\xc3\xb3n Bucay, reiterando n\xe2\x80\xa6 https://t.co/JOgGQmkZ3X'",,DíaMundialDelMedioAmbiente,362,113
Guillermo Lasso,LassoGuillermo,882232,"b'\xe2\x80\x9cLa transici\xc3\xb3n ecol\xc3\xb3gica nos dar\xc3\xa1 fuentes de empleo\xe2\x80\x9d.\n\nDesde el renovado Ministerio del Ambiente, Agua y Transici\xc3\xb3n\xe2\x80\xa6 https://t.co/8LLRrp8mqE'",,,963,193
